Name,Platform,Genre
Tom Clancy's Splinter Cell,PS2,Action
Skylanders Giants,Wii,Action
Medal of Honor Heroes,PSP,Shooter
Super Mario Bros.: The Lost Levels,NES,Platform
Star Wars: Shadows of the Empire,N64,Action
LEGO Star Wars: The Complete Saga,X360,Action
Midnight Club: Street Racing,PS2,Racing
Pac-Man: Adventures in Time,PSP,Fighting
Halo Wars,X360,Strategy
God of War Collection,PS3,Action
ESPN NFL 2K5,PS2,Sports
Mario Strikers Charged,Wii,Sports
Medal of Honor,X360,Shooter
FIFA Soccer 10,X360,Sports
NBA 2K12,X360,Sports
Style Savvy,DS,Simulation
Harry Potter and the Chamber of Secrets,PS2,Action
Super Mario All-Stars: Limited Edition,Wii,Platform
Streets of Rage,GEN,Action
FIFA Soccer 09,PS3,Sports
Ratchet & Clank Future: Tools of Destruction,PS3,Platform
NBA Live 2005,PS2,Sports
LittleBigPlanet,PSP,Platform
Killzone: Shadow Fall,PS4,Shooter
Ghostbusters: The Video Game (DS Version),X360,Action
Monster Hunter Freedom 2,PSP,Role-Playing
WWE SmackDown vs. RAW 2007,PS2,Fighting
Ratchet & Clank: Up Your Arsenal,PS2,Platform
Art Academy,DS,Misc
Dragon Age: Origins,X360,Role-Playing
Madden NFL 08,PS2,Sports
Sonic Adventure 2 Battle,GC,Platform
Dragon Warrior II,NES,Role-Playing
Madden NFL 13,PS3,Sports
Pokémon Colosseum,GC,Role-Playing
Deca Sports,Wii,Sports
Madden NFL 09,X360,Sports
Space Invaders,2600,Shooter
Crazy Taxi,PS2,Racing
Perfect Dark,N64,Action
Game Party,Wii,Misc
Dragon Warrior,NES,Role-Playing
Tomb Raider (2013),PS3,Action
Marvel: Ultimate Alliance,X360,Role-Playing
PES 2009: Pro Evolution Soccer,PS2,Sports
Mario Party 2,N64,Misc
Saints Row: The Third,PS3,Action
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Action
LEGO Harry Potter: Years 1-4,Wii,Action
Mortal Kombat: Deadly Alliance,PS2,Fighting
Resistance 2,PS3,Shooter
Pure,X360,Racing
Tomb Raider: The Last Revelation,PS,Action
NBA 2K13,PS3,Sports
Rock Band,X360,Misc
NBA 2K14,X360,Sports
Mario Party 4,GC,Misc
uDraw Studio,Wii,Misc
Midnight Club: Los Angeles,PS3,Racing
Final Fantasy V,SNES,Role-Playing
Final Fantasy Tactics,PS,Role-Playing
Twisted Metal 2,PS,Racing
Halo: Combat Evolved Anniversary,X360,Shooter
Need for Speed Carbon: Own the City,PSP,Racing
The Sims: Bustin' Out,PS2,Simulation
Riven: The Sequel to Myst,PC,Adventure
Tom Clancy's Rainbow Six: Vegas 2,X360,Shooter
Sonic Adventure,DC,Platform
Ice Hockey,NES,Sports
pro evolution soccer 2011,PS3,Sports
Dragon Ball Z: Budokai 2,PS2,Fighting
ATV Offroad Fury,PS2,Racing
Dino Crisis,PS,Action
Minecraft,XOne,Misc
Need for Speed: ProStreet,PS2,Racing
Madden NFL 16,XOne,Sports
Tetris Plus,PS,Puzzle
Pro Wrestling,NES,Fighting
Theme Hospital,PC,Strategy
Frogger's Adventures: Temple of the Frog,GBA,Adventure
Need for Speed (2015),PS4,Racing
Zumba Fitness,X360,Sports
LEGO Indiana Jones: The Original Adventures,Wii,Action
Monopoly,PC,Misc
Batman: Arkham Origins,PS3,Action
Dead Island,X360,Action
Guitar Hero,PS2,Misc
LEGO Star Wars: The Complete Saga,PS3,Action
Kinect: Disneyland Adventures,X360,Misc
WCW/nWo Revenge,N64,Fighting
Bloodborne,PS4,Action
NBA 2K15,PS4,Sports
Madden NFL 11,PS3,Sports
Yu-Gi-Oh! The Duelists of the Roses,PS2,Misc
Madden NFL 08,X360,Sports
Half-Life 2,PC,Shooter
The Incredibles,PS2,Action
Tony Hawk's Underground 2,PS2,Sports
Madden NFL 10,PS3,Sports
Kinect Sports: Season Two,X360,Sports
Kirby's Dream Land 2,GB,Platform
LEGO Harry Potter: Years 1-4,DS,Action
Donkey Kong Land II,GB,Platform
Dragon Warrior Monsters,GB,Role-Playing
Midnight Club: Los Angeles,X360,Racing
Skylanders SWAP Force,Wii,Platform
WWE SmackDown vs Raw 2008,PS2,Fighting
My Fitness Coach,Wii,Sports
Resident Evil - Code: Veronica X,PS2,Action
The Sims 3,X360,Simulation
The Legend of Zelda: Majora's Mask 3D,3DS,Action
NBA 2K16,XOne,Sports
Just Dance Kids,Wii,Misc
Mario Tennis,N64,Sports
Grand Theft Auto,PS,Action
James Bond 007: Everything or Nothing,PS2,Shooter
WarioWare Touched!,DS,Puzzle
Need For Speed: High Stakes,PS,Racing
Chrono Trigger,SNES,Role-Playing
Cool Boarders 3,PS,Sports
LEGO Marvel Super Heroes,X360,Action
Guild Wars 2,PC,Action
Pokemon Ranger: Shadows of Almia,DS,Role-Playing
Dead Island,PS3,Action
Tomb Raider II,PC,Action
God of War: Ascension,PS3,Action
Need for Speed Underground 2,XB,Racing
Pro Evolution Soccer 2010,PS3,Sports
